번호,제목,요약,원본링크,네이버뉴스링크,게시일
352,"뉴딘스퀘어 '팝볼링', 볼링에 문화 더해 소비자 호평","▶<b>부산 서면</b> 팝볼링, 대학생 사로잡은 우리끼리 볼링펍 <b>부산 서면</b>에 위치한 팝볼링 매장에 들어<b>서면</b> 남녀... 무엇보다 매장이 신시가지 중심 상권에 위치해 있어 교통이 편리하고 <b>맛집</b>, 디저트카페, 영화관, 패션브랜드... ",http://www.wolyo.co.kr/news/articleView.html?idxno=66367,http://www.wolyo.co.kr/news/articleView.html?idxno=66367,2018-08-19 11:28:00
353,<b>부산</b> 가 볼만한곳은? <b>서면</b>의 핫플레이스 '공중정원',"2016년 오픈한 이곳은 <b>부산</b> 꼭 가봐야할 곳, <b>서면</b> 핫플레이스, <b>서면맛집</b>으로 불리며 젊은 소비자들의 눈과 귀를 사로잡는 메뉴로 사랑 받고 있다. 공중정원은 특히 기존 치킨 요리에서는 볼 수 없었던 색다른 조리법과... ",http://sports.chosun.com/news/ntype.htm?id=201808030100020550001140&servicedate=20180802,https://n.news.naver.com/mnews/article/076/0003294263?sid=102,2018-08-01 15:35:00
354,"<b>서면맛집</b> '구워삶기', 여행객들 입맛 사로잡는 매콤불고기 선보여",<b>부산 서면</b>에서 젊은이들의 까다로운 입맛을 매콤한 맛으로 사로잡아 줄 서먹는 <b>맛집</b>으로 알려진 '구워삶기'는 <b>맛집</b>을 찾는 여행객들의 입맛을 유혹하는 비주얼을 선보이고 있다. <b>서면</b>역 6번 출구에서 5분정도의 거리에... ,https://www.nbntv.kr/news/articleView.html?idxno=71552,https://www.nbntv.kr/news/articleView.html?idxno=71552,2018-08-01 13:27:00
355,<b>부산 서면</b> 스테이크 <b>맛집</b> '3found'에서 분자요리로 즐기는 특별한 여름휴...,<b>부산 서면 맛집</b> '3found' 관계자는 &quot;지금도 틈틈이 메뉴 연구를 계속 하고 있다. 우리만의 시그니처 메뉴는 있지만 변화하는 고객의 니즈를 만족시키고 새로움을 드리기 위해서는 시행착오와 수고를 겼더라도 연구를 멈출... ,https://www.nbntv.kr/news/articleView.html?idxno=71252,https://www.nbntv.kr/news/articleView.html?idxno=71252,2018-07-27 15:21:00
356,(워라벨)(12)<b>부산</b>교통공사 김욱 대리(소셜미디어 <b>부산</b>공감 편집장),대부분의 SNS가 <b>맛집</b>이나 데이트 코스 등 특정 분야에 머물렀다면 <b>부산</b>공감은 시사콘텐츠를 비롯 지역의... 예를 들어 <b>부산 서면</b>에 있던 롯데리아가 사라졌다’는 기사도 반응이 뜨거웠다고 한다. 어! 거기 없어지면 햄버거... ,http://www.electimes.com/article.php?aid=1531242653160991034,http://www.electimes.com/article.php?aid=1531242653160991034,2018-07-11 02:22:00
357,<b>부산 서면맛집</b> '구워삶기' 매콤한 맛으로 관광객 입맛 사로잡아,"이중에서도 특히 <b>서면맛집</b>으로 알려진 '구워삶기'는 <b>부산</b>의 자랑거리인 해산물과 대중들이 좋아하는 돼지 불고기에 각종 야채와 당면, 수제비 등을 넣고 끓이는 국물 떡볶이식의 '매콤불고기 전골'을 단일메뉴로 앞세워... ",http://www.ggilbo.com/news/articleView.html?idxno=522381,http://www.ggilbo.com/news/articleView.html?idxno=522381,2018-07-02 14:58:00
358,"[<b>부산</b> <b>맛집</b>] <b>서면</b> 사월그날·부전주택, ‘골목개척자’ 서필교의 감성술...",혹시 양이 모자라다면 간장계란밥 또는 볶음밥을 추천한다.서 대표가 직접 몸으로 부딪히며 ‘사월그날’을 자리잡게 하는 동안 공구 상가 골목은 <b>부산 서면</b>의 가장 핫한 술집 거리가 되어갔다. 서 대표는 최종 목표에... ,http://www.kookje.co.kr/news2011/asp/newsbody.asp?code=0700&key=20180629.99099014873,http://www.kookje.co.kr/news2011/asp/newsbody.asp?code=0700&key=20180629.99099014873,2018-06-29 15:20:00
359,"'생생정보' 돼지김치구이 <b>맛집</b>, <b>부산</b>진구 '원조집'","여러 <b>맛집</b>들이 있는 <b>부산 서면</b> 골목에서도 사람들이 긴 줄을 서고 있는 '원조집'은 '돼지김치구이'만... 특히 주인장은 &quot;경남 창녕군에서 키운 돼지를 사용하고 있고 저온 숙성시켜 삼겹살 8, 앞다리 살 <b>2</b> 비율로... ",http://news.hankyung.com/article/201806272149I,https://n.news.naver.com/mnews/article/015/0003969197,2018-06-27 19:41:00
360,'생생정보' 문전성시의비밀 '돼지김치구이' '모둠생선구이정식' 생생밥...,"-위치: 인천광역시 남동구 찬우물로 21 (지번: 수산동 162 1층) [문전성시의 비밀] ■ 원조집 <b>부산 서면 맛집</b>으로 단일메뉴 '돼지김치구이'가 유명하다. 돼지김치구이 2만원~3만원, 특대 4만원이다. 식자재 소진시... ",http://www.g-enews.com/ko-kr/news/article/news_all/20180627152510932c4c55f9b3d_1/article.html,http://www.g-enews.com/ko-kr/news/article/news_all/20180627152510932c4c55f9b3d_1/article.html,2018-06-27 18:30:00
361,"<b>부산 서면 맛집</b> '어쭈', 신선한 조개찜과 조개구이 제공","<b>부산 서면 맛집</b>으로 꼽히는 '어쭈'는 조개찜과 쭈꾸미 전문점으로 현재 조개찜과 갈미조개 샤브샤브, 쭈꾸미는 물론 2층에 위치한 어쭈구이에서 고기와 조개구이까지 여러 가지 메뉴를 선보이고 있다. 특히 조개찜은... ",http://www.ggilbo.com/news/articleView.html?idxno=520369,http://www.ggilbo.com/news/articleView.html?idxno=520369,2018-06-25 15:08:00
362,[선장과 함께하는 도시 항해] 9. 전포카페거리 일대 시간여행,<b>서면</b>중앙시장을 지나면 <b>부산</b>진소방서 구조대가 보인다. 소방서 맞은편 울산식육식당(051-816-9292)은 오래전부터 <b>맛집</b>으로 통하는 곳이다. 초리구이와 육회가 유명하다. 여기서부터 시작된 근린공원은 도시철도 1호선 부전역... ,http://news20.busan.com/controller/newsController.jsp?newsId=20180530000236,https://n.news.naver.com/mnews/article/082/0000809012?sid=102,2018-05-30 19:12:00
363,[아주 초대석] 정인기 풀잎채 대표 “셀프형 매장으로 가성비 저격했죠...,"이어 20일 <b>부산 서면</b>점, 창원 롯데백화점에 3호점이 오픈한다. 유통사와 외식업체가 정식 업무협약 한 첫... 한 가지 집중하는 <b>맛집</b>이 아니면 이렇게 다양하게 주는 게 낫지 않으냐”고 되묻기도 했다. 끝으로 정 대표는... ",http://www.ajunews.com/view/20180419132426328,http://www.ajunews.com/view/20180419132426328,2018-04-20 11:00:00
364,지난해 <b>부산</b>방문 관광객 2703만명… 소폭 증가,"20대의 경우 <b>부산 서면</b>·전포카페거리 등 쇼핑·오락을 즐길 수 있는 곳, 30대는 해운대해수욕장·동백섬... 이는 SNS와 대중매체를 통해 소개되는 <b>맛집</b>·카페 탐방 트렌드의 영향에 따른 것으로 보인다. 외국인... ",http://www.shinailbo.co.kr/news/articleView.html?idxno=1059921,http://www.shinailbo.co.kr/news/articleView.html?idxno=1059921,2018-04-08 15:54:00
365,"<b>부산</b> 관광객, BIFF광장·자갈치&amp;국제시장·<b>서면</b> 많이 찾아","20대는 <b>부산 서면</b>, 전포카페거리 등 쇼핑, 오락을 즐길 수 있는 곳을, 30대는 해운대해수욕장, 동백섬... 이는 SNS 등을 통해 소개된 <b>맛집</b> 탐방 트랜드의 영향에 따른 것으로 보인다. 외국인 관광객은 쇼핑 장소가... ",http://www.betanews.net:8080/article/836064.html,http://www.betanews.net:8080/article/836064.html,2018-04-07 12:26:00
366,<b>부산</b>방문 외국인 관광객 42만명 감소…신용카드 지출 29.6% 줄어,"20대의 경우 <b>부산 서면</b>, 전포카페거리 등 쇼핑, 오락을 즐길 수 있는 곳을 방문했다. 30대는... 이는 SNS와 대중매체를 통해 소개되는 <b>맛집</b>·카페 탐방 트랜드의 영향에 따른 것으로 보인다. 외국인 관광객은 쇼핑... ",http://daily.hankooki.com/lpage/society/201804/dh20180406134842137890.htm,http://daily.hankooki.com/lpage/society/201804/dh20180406134842137890.htm,2018-04-06 13:50:00
367,"<b>부산</b>시, '2017 <b>부산</b>관광산업 동향분석' 발표","20대는 <b>부산 서면</b>, 전포카페거리 등 쇼핑, 오락을 즐길 수 있는 곳을, 30대는 해운대해수욕장, 동백섬 일원... 이는 SNS와 대중매체를 통해 소개되는 <b>맛집</b>카페 탐방 트랜드의 영향에 따른 것으로 보여진다. 외국인... ",http://www.gukjenews.com/news/articleView.html?idxno=903502,http://www.gukjenews.com/news/articleView.html?idxno=903502,2018-04-06 11:24:00
368,해운대 마린시티 <b>부산</b> 관광의 핵으로 떠올라,"3%), 송도해수욕장(19.<b>2</b>%), 황령산봉수대(15.8%) 등이다. <b>부산</b>을 방문한 관광객 가운데 20대는 <b>부산 서면</b>... 이는 인터넷과 소셜미디어 등에서 소개되는 <b>맛집</b>과 카페 탐방 트렌드를 반영한 것으로 보인다. 외국인... ",http://www.nocutnews.co.kr/news/4950401,https://n.news.naver.com/mnews/article/079/0003087289?sid=102,2018-04-06 10:11:00
369,2017 <b>부산</b> 관광'핫 스팟',"20대는 <b>부산 서면</b>, 전포카페거리 등 쇼핑, 오락을 즐길 수 있는 곳을, 30대는 해운대해수욕장, 동백섬 일원... 이는 SNS와 대중매체를 통해 소개되는 <b>맛집</b>‧카페 탐방 트랜드의 영향에 따른 것으로 보여진다. 외국인... ",http://www.bzeronews.com/news/articleView.html?idxno=347519,http://www.bzeronews.com/news/articleView.html?idxno=347519,2018-04-06 09:02:00
370,지난해 <b>부산</b>방문 관광객 2703만명…내국인 86만 늘고·외국인 42만 줄어,"20대는 <b>부산 서면</b>·전포카페거리 등 쇼핑·오락을 즐길 수 있는 곳, 30대는 해운대해수욕장·동백섬 일원과... 이는 SNS와 대중매체를 통해 소개되는 <b>맛집</b>·카페 탐방 트렌드의 영향에 따른 것으로 보여진다. 외국인... ",http://www.newsis.com/view/?id=NISX20180406_0000274272&cID=10811&pID=10800,https://n.news.naver.com/mnews/article/003/0008529813?sid=102,2018-04-06 09:02:00
371,"<b>부산</b>지역 외국인 관광객, 사드배치 등으로 15% 감소","20대는 <b>부산 서면</b>, 전포카페거리 등 쇼핑, 오락을 즐길 수 있는 곳을, 30대는 해운대해수욕장, 동백섬 일원... 소개되는 <b>맛집</b>‧카페 탐방 트랜드의 영향에 따른 것으로 보여진다. 외국인 관광객은 쇼핑 장소가... ",http://news1.kr/articles/?3282427,https://n.news.naver.com/mnews/article/421/0003302055?sid=102,2018-04-06 08:20:00
372,해운대 마린시티 일원 <b>부산</b>관광 '핫 플레이스' 부상,"3%), 송도해수욕장(19.<b>2</b>%), 황령산봉수대(15.8%) 등이다. <b>부산</b>을 방문한 관광객 가운데 20대는 <b>부산 서면</b>... 이는 인터넷과 소셜미디어 등에서 소개되는 <b>맛집</b>과 카페 탐방 트렌드를 반영한 것으로 보인다. 외국인 관광객은... ",http://app.yonhapnews.co.kr/YNA/Basic/SNS/r.aspx?c=AKR20180406021800051&did=1195m,https://n.news.naver.com/mnews/article/001/0010007576?sid=102,2018-04-06 07:56:00
373,'2TV 저녁 생생정보-유별난 <b>맛집</b>' <b>부산</b> <b>맛집</b> '화난발'…&quot;끓여 먹는 족발...,KBS2 '2TV 생생정보' 방송 캡처 2일 방송된 '2TV 생생정보' 유별난 <b>맛집</b> 코너에서는 <b>부산</b> <b>맛집</b> '화난발'이 소개됐다. <b>부산 서면</b>에 위치한 족발 전문점으로 끓여 먹는 족발이 유명하다. 이곳을 찾은 손님들은 &quot;족발이... ,http://www.topstarnews.net/news/articleView.html?idxno=387475,http://www.topstarnews.net/news/articleView.html?idxno=387475,2018-04-02 19:14:00
374,"2tv생생정보 장사의 신! 막국수, 유별난 <b>맛집</b>! '끓여 먹는 족발'·'랍스터...",-위치: 경기도 여주시 대신면 천서리길 26 [유별난 <b>맛집</b>] ■ 화난발 <b>부산 서면</b>에 위치한 닭발과 족발 전문점이다. 이색 메뉴로 끓여 먹는 족발이 유명하다. 전골처럼 먹다가 짜글이로 즐기는 것이 포인트다.... ,http://www.g-enews.com/ko-kr/news/article/news_all/20180402164434478c4c55f9b3d_1/article.html,http://www.g-enews.com/ko-kr/news/article/news_all/20180402164434478c4c55f9b3d_1/article.html,2018-04-02 18:30:00
375,고무 냄새 나던 신발공장 자취 따라 폴짝폴짝,<b>서면</b> 근대산업유산 추억길 - 젊은이 몰리는 <b>부산</b> 중심가 <b>서면</b>- 한땐 공장 즐비한 수출산업 중추- 넥센타이어... 지하도롤 건너 카페와 <b>맛집</b> 거리로 변신한 공구상가 거리로 오면 노란색 공구 조형물과 바닥의 스패너... ,http://www.kookje.co.kr/news2011/asp/newsbody.asp?code=1600&key=20180329.22017011784,http://www.kookje.co.kr/news2011/asp/newsbody.asp?code=1600&key=20180329.22017011784,2018-03-29 00:10:00
376,조경환의 지역 문화 관광 콘텐츠 탐방(11) _'카페골목'도 문화관광 콘텐...,"내는 <b>맛 집</b>, 그리고 색다른 옥상 찻집과 카페 등이다. 그리고 저렴한 백반식당과 국수가게집이 자리 잡고... <b>부산 서면</b>이 <b>부산</b>에서 제일번화한 곳으로 늘 유동인구들이 붐볐지만 이곳 전포성당은 좁은 골목으로 어두운... ",http://www.newsfreezone.co.kr/news/articleView.html?idxno=46742,http://www.newsfreezone.co.kr/news/articleView.html?idxno=46742,2018-03-19 11:07:00
377,"<b>부산</b> 남포동밥집 '구워삶기', 매콤불고기로 봄맞이 여행객들 사로잡아","남포동 <b>맛집</b>이다. '구워삶기'는 오징어와 불고기, 홍합, 다양한 야채, 당면 등 여러 식재료를 구워삶아 먹는다는 뜻으로 <b>부산 서면</b>에 처음으로 오픈 할 당시 새로운 스타일의 음식으로 고객들의 이목을 집중시킨 바 있다.... ",http://www.gokorea.kr/news/articleView.html?idxno=40577,http://www.gokorea.kr/news/articleView.html?idxno=40577,2018-03-15 11:07:00
378,"<b>부산 서면</b>밥집 '구워삶기', 단일메뉴 매콤불고기로 젊은층 입맛 사로잡...","특히나, 젊은 여행객들이 많이 찾는 <b>부산 서면</b>은 각종 먹거리와 <b>맛집</b>이 즐비한 곳으로 유명한데, 최근 <b>서면</b>에서는 <b>부산</b>의 자랑거리인 해산물과 대중들이 즐겨먹는 음식인 돼지고기, 수제비, 각종 튀김 등을 넣어 만들어진... ",https://www.widedaily.com/news/articleView.html?idxno=80610,https://www.widedaily.com/news/articleView.html?idxno=80610,2018-03-14 18:26:00
379,"mbc '생방송 오늘저녁' 빵지순례 천연색소 밤식빵, 소용돌이김밥·불타...","-위치: 서울 마포구 양화로23길 10-9 (지번: 동교동 147-59 1층) [찾아라 먹스타] ■ 샤리 <b>부산 서면</b> 초밥 <b>맛집</b>으로 소용돌이 김밥이 유명하다. 대표메뉴인 소용돌이김초밥 1만5000원, 스페셜초밥 2만3000원, 평일 점심특선... ",http://www.g-enews.com/ko-kr/news/article/news_all/201803051615521734c4c55f9b3d_1/article.html,http://www.g-enews.com/ko-kr/news/article/news_all/201803051615521734c4c55f9b3d_1/article.html,2018-03-05 18:12:00
380,"[여행의 향기] 가성비도 가심비도 최고, <b>부산</b> 롯데호텔의 '4색 매력'","카페와 <b>맛집</b>이 즐비한 곳이다. 전포카페거리에서 <b>부산 서면</b> 특유의 분위기를 물씬 느끼며 향긋한 커피 한 잔을 마셔보면 어떨까. 호텔의 대표 레스토랑, 뷔페 라세느 저녁이나 아침 식사 장소를 찾는다면 호텔을... ",http://news.hankyung.com/article/2018022570591,https://n.news.naver.com/mnews/article/015/0003898517?sid=103,2018-02-25 14:47:00
381,[tv편성표]2tv '생생정보' 묵은지돼지고기찜 묵은지연어소고기삼합 토마...,이날 제작진이 소개하는 <b>맛집</b>은 다음과 같다. [생생밥상 지금이 딱!] ■ 대저농협 짭짤한 맛이 나는... -위치: <b>부산</b>광역시 강서구 대저2동 541-5번지 ■ 비밀 (토마토대창전골) <b>부산 서면</b>에 있는 퓨전술집이다.... ,http://www.g-enews.com/ko-kr/news/article/news_all/201802211727101022c4c55f9b3d_1/article.html,http://www.g-enews.com/ko-kr/news/article/news_all/201802211727101022c4c55f9b3d_1/article.html,2018-02-21 17:41:00
382,[픽업TV] ‘2TV 생생정보’ <b>맛집</b> 위치? <b>부산 서면</b> 토마토대창전골·소고...,"‘2TV 생생정보’에서 딴산 유원지, 강서구 토마토, <b>부산 서면</b> 토마토대창전골, 소고기말이전골, 용산구 토마토치킨스튜, 애그인헬, 원주 묵은지 돼지고기찜, 용산구 묵은지 연어소고기삼합, 충주 각기우동, 돌우동... ",http://chicnews.mk.co.kr/article.php?aid=1519202400176554018,http://chicnews.mk.co.kr/article.php?aid=1519202400176554018,2018-02-21 17:41:00
383,"한국심리교육협회, ‘온라인무료강의’ 취업관심자 홍대•<b>서면</b> 등 전국...","홍대는 홍대역 주변으로 홍대카페, 홍대<b>맛집</b>, 홍대데이트코스 등 가볼만한 곳이 많기로 유명하고, 인근에 연세대학교(연세대), 이화여자대학교(이화여대), 서강대학교(서강대)가 근접해 있으며, <b>서면</b>은 <b>부산</b>광역시에 있는... ",http://newsbrite.net/news/view.php?no=7677,http://newsbrite.net/news/view.php?no=7677,2018-02-14 11:42:00
384,"한 입 먹으면 벗어날 수 없는 마성의 빵, 앙버터","빵, 토스트, 쿠키 등의 조합으로, 다양한 모습으로 만나볼 수 있는 전국 앙버터 <b>맛집</b>을 소개한다. 1.앙 하고... 후쿠오카에 온 듯한 일본감성, <b>부산</b> 모모치 <b>부산 서면</b> 전포카페거리에 위치해 있는 ‘모모치’... ",http://ppss.kr/archives/152498,http://ppss.kr/archives/152498,2018-02-06 19:22:00
385,"레스토랑 창업 브랜드 다락마을 홍대점, 가격·맛·분위기로 1020세대 핫...","다락마을을 찾은 한 대학생 고객은 &quot;고등학교 때부터 단골이었는데 홍대<b>맛집</b>을 검색하다 우연히 오게... 합성점, <b>부산 서면</b>점 등 성공한 점포들의 높은 월매출뿐 아니라, 본사에서 공급하는 특제 소스류를 바탕으로 한... ",http://www.gokorea.kr/news/articleView.html?idxno=36225,http://www.gokorea.kr/news/articleView.html?idxno=36225,2018-01-17 10:57:00
386,한입 먹자마자 '달달'한 맛에 반하게 되는 '전설의 호떡' <b>맛집</b> 7,전국 방방곡곡에서 판매되며 호떡 마니아들의 눈길을 끌고 있는 특별한 호떡 <b>맛집</b>을 한데 모았다.모차렐라... <b>부산</b> '호맥'<b>부산 서면</b>에는 치맥이 아닌 호맥(호떡+맥주)을 즐길 수 있는 곳이 있다. 호떡을 단순한 군것질 용이... ,http://www.insight.co.kr/news/135483,http://www.insight.co.kr/news/135483,2018-01-17 09:33:00
387,"<b>부산</b>시, 반송낙지 등 우수 착한가격업소 4곳 선정",‘2017년 우수 착한가격업소’는 지난 10월 구․군 추천을 받은 착한가격업소를 대상으로 <b>부산</b>시의 <b>서면</b> 및... ‘쌍둥이돼지국밥(돼지국밥 6500원)’은 21년간 영업해 온 <b>부산</b> <b>맛집</b>으로 최근 신축건물에 제2호점을 차리고... ,http://www.newsis.com/view/?id=NISX20171213_0000175031&cID=10811&pID=10800,https://n.news.naver.com/mnews/article/003/0008339890?sid=102,2017-12-13 10:31:00
388,"&lt;취재수첩&gt; 롯데백화점의 탐욕, <b>부산 서면</b>을 뒤덮다","지난 2년간에 걸쳐 대규모 증축 공사를 마치고 최근 재개장한 롯데백화점 <b>부산</b>본점(<b>서면</b>)의 외관을 바라보면... 등 <b>맛집</b>을 대거 입점시켜 지하도상가, 재래시장, 음식점 등 주변 소상공인 상권마저 흡수하려 하고 있다. 주변... ",https://www.nbntv.kr/news/articleView.html?idxno=57329,https://www.nbntv.kr/news/articleView.html?idxno=57329,2017-12-06 09:10:00
